DATE,PALLFNFINDEXM
1999-01-01,43.770700544053
1999-02-01,42.0125425456891
1999-03-01,42.9827012934287
1999-04-01,45.6758191547055
1999-05-01,46.5131526855002
1999-06-01,45.9815205886859
1999-07-01,47.5040320131758
1999-08-01,49.7544817182194
1999-09-01,51.77346376741
1999-10-01,52.5319085995558
1999-11-01,53.2836966508116
1999-12-01,54.0069328504822
2000-01-01,55.5724212450119
2000-02-01,58.042724064283
2000-03-01,58.487300099091
2000-04-01,56.4551399290546
2000-05-01,59.4040595903128
2000-06-01,61.3221217602032
2000-07-01,59.8455702146376
2000-08-01,60.7517604011792
2000-09-01,63.5818003439737
2000-10-01,62.8624877810642
2000-11-01,63.9327297782617
2000-12-01,64.4362742025608
2001-01-01,63.945196494789
2001-02-01,60.9836461992125
2001-03-01,59.0334937333511
2001-04-01,59.394886237194
2001-05-01,59.9811472113176
2001-06-01,58.4278398181113
2001-07-01,55.8989135324686
2001-08-01,56.1290813265519
2001-09-01,54.0407974023588
2001-10-01,50.3946720675826
2001-11-01,48.1728443833486
2001-12-01,47.897347429039
2002-01-01,48.5321298829954
2002-02-01,49.5493592357839
2002-03-01,53.9730665501868
2002-04-01,55.780683891944
2002-05-01,55.9384911848833
2002-06-01,54.9353874723174
2002-07-01,56.4325260312108
2002-08-01,56.6805808487113
2002-09-01,58.9262023415756
2002-10-01,60.1042527078095
2002-11-01,58.0255435951159
2002-12-01,61.3321418800279
2003-01-01,65.3393453883986
2003-02-01,70.3454820826314
2003-03-01,65.827640913317
2003-04-01,61.8662124815534
2003-05-01,63.0610432878967
2003-06-01,64.3593301568151
2003-07-01,63.2848797556019
2003-08-01,64.4368237581565
2003-09-01,64.4991290214764
2003-10-01,67.4547028213942
2003-11-01,67.3819146237766
2003-12-01,70.5063078649893
2004-01-01,73.1233565839023
2004-02-01,72.8798439029803
2004-03-01,75.5326717866659
2004-04-01,76.4752780606294
2004-05-01,79.7446991672955
2004-06-01,78.3882366085363
2004-07-01,79.7234853285602
2004-08-01,80.9604271813244
2004-09-01,80.5926412270702
2004-10-01,86.3939112683085
2004-11-01,83.7253832062406
2004-12-01,82.5679413494841
2005-01-01,85.426576137206
2005-02-01,87.4442907365214
2005-03-01,94.520957850601
2005-04-01,94.0729819516697
2005-05-01,91.6042781847429
2005-06-01,95.4697097981618
2005-07-01,97.8478711178076
2005-08-01,103.80457349774
2005-09-01,107.687228319452
2005-10-01,107.178505587613
2005-11-01,101.196128312772
2005-12-01,106.182001974206
2006-01-01,107.905760485708
2006-02-01,106.110057822923
2006-03-01,106.826432285565
2006-04-01,115.698565260193
2006-05-01,119.892187500183
2006-06-01,117.227587602056
2006-07-01,121.713228044239
2006-08-01,122.41103477327
2006-09-01,112.612866588131
2006-10-01,110.802485185764
2006-11-01,113.440785192779
2006-12-01,115.550687042573
2007-01-01,110.949546749002
2007-02-01,116.775265705671
2007-03-01,119.501740282007
2007-04-01,126.339752899399
2007-05-01,126.74981285228
2007-06-01,127.192978188255
2007-07-01,129.715401506189
2007-08-01,125.448813204441
2007-09-01,131.784739890582
2007-10-01,139.388357597074
2007-11-01,147.671281093446
2007-12-01,147.638237047466
2008-01-01,154.447467911667
2008-02-01,161.368559418187
2008-03-01,171.380328644189
2008-04-01,177.834108555155
2008-05-01,189.889058672767
2008-06-01,199.570090200076
2008-07-01,202.79824199016
2008-08-01,181.099920941178
2008-09-01,165.917674832465
2008-10-01,135.642449629873
2008-11-01,115.075840161529
2008-12-01,102.513675947787
2009-01-01,105.370487891975
2009-02-01,101.636591584712
2009-03-01,101.657459125458
2009-04-01,103.867904999277
2009-05-01,112.432007969204
2009-06-01,121.529287127667
2009-07-01,117.044336999179
2009-08-01,123.644966954095
2009-09-01,120.101717365073
2009-10-01,127.557909161011
2009-11-01,132.46017097885
2009-12-01,135.091794622481
2010-01-01,140.879356264572
2010-02-01,137.553819929202
2010-03-01,142.134457038029
2010-04-01,150.037752790342
2010-05-01,141.225643659624
2010-06-01,138.308452289982
2010-07-01,138.545068482847
2010-08-01,142.362782418929
2010-09-01,145.003114822572
2010-10-01,152.693365680988
2010-11-01,157.826619839809
2010-12-01,166.803581894102
2011-01-01,172.981435946721
2011-02-01,179.468167965246
2011-03-01,185.473651416459
2011-04-01,194.87069783582
2011-05-01,187.741334614091
2011-06-01,185.93717680259
2011-07-01,188.470696853588
2011-08-01,184.134851319023
2011-09-01,182.107492051107
2011-10-01,175.684282650313
2011-11-01,178.040256406762
2011-12-01,174.761235152745
2012-01-01,177.618594010884
2012-02-01,183.12773659145
2012-03-01,187.234388031873
2012-04-01,184.229929622973
2012-05-01,173.347651197449
2012-06-01,162.08035007342
2012-07-01,167.314025591565
2012-08-01,171.974397084423
2012-09-01,173.707159468872
2012-10-01,172.096868282293
2012-11-01,169.751161329954
2012-12-01,170.538214029272
2013-01-01,174.694947687371
2013-02-01,176.177797665212
2013-03-01,171.586812298877
2013-04-01,168.320881143811
2013-05-01,167.166782087759
2013-06-01,164.701242429588
2013-07-01,166.667512153814
2013-08-01,169.311802383177
2013-09-01,168.680311308511
2013-10-01,166.009943319486
2013-11-01,164.298087443891
2013-12-01,167.885816346645
2014-01-01,166.688448334506
2014-02-01,170.991846037539
2014-03-01,169.83014901628
2014-04-01,170.99844055245
2014-05-01,168.760389317498
2014-06-01,169.074608770665
2014-07-01,165.680713802331
2014-08-01,160.137018437262
2014-09-01,155.058246076718
2014-10-01,146.42700202046
2014-11-01,139.595733455403
2014-12-01,126.234914848171
2015-01-01,114.224764864217
2015-02-01,117.588753372027
2015-03-01,113.572285646043
2015-04-01,114.842883210707
2015-05-01,118.693472997326
2015-06-01,116.502403296507
2015-07-01,109.743694975107
2015-08-01,102.520241451272
2015-09-01,102.36254837676
2015-10-01,102.317376866191
2015-11-01,96.2261494358763
2015-12-01,90.7535910628681
2016-01-01,85.3222816113211
2016-02-01,87.3708316514425
2016-03-01,93.6085981249725
2016-04-01,96.7585413314274
2016-05-01,100.582061462381
2016-06-01,103.209159081305
2016-07-01,102.828188816606
2016-08-01,103.305821882103
2016-09-01,103.356382500998
2016-10-01,106.569699326977
2016-11-01,105.445641197298
2016-12-01,111.642793013169
2017-01-01,115.91232862639
2017-02-01,116.369677522492
2017-03-01,110.868620380905
2017-04-01,110.97639080643
2017-05-01,108.838276312397
2017-06-01,105.644050261
2017-07-01,108.48214300067
2017-08-01,111.37236548452
2017-09-01,114.568117364868
2017-10-01,116.086469167286
2017-11-01,120.849389666473
2017-12-01,122.578065105907
2018-01-01,129.840205646033
2018-02-01,126.82234293578
2018-03-01,126.364721476102
2018-04-01,128.366239333189
2018-05-01,133.050513850255
2018-06-01,131.967667620008
2018-07-01,130.274712511537
2018-08-01,127.977182808237
2018-09-01,132.425844075925
2018-10-01,133.426029349899
2018-11-01,121.852794668042
2018-12-01,115.962828371247
2019-01-01,117.078243931293
2019-02-01,119.011525008153
2019-03-01,119.910036313747
2019-04-01,123.416730613218
2019-05-01,120.477540814855
2019-06-01,115.528942429291
2019-07-01,117.967954420674
2019-08-01,112.71228204303
2019-09-01,114.809066266979
2019-10-01,113.021631908557
2019-11-01,116.907999771541
2019-12-01,119.912673016631
2020-01-01,119.554725536022
2020-02-01,111.020260767082
2020-03-01,93.8714497842524
2020-04-01,84.1726568650918
2020-05-01,91.353596836937
